代码,证券简称,相关资料, 融资余额(元) ,融券余额(元),融资买入额(元),融资偿还额(元),融资净买额(元),融券余量,融券卖出量,融券偿还量,融资融券余额(元)
600433,冠豪高新,详细 数据 资金流, 7.12 亿 ,30.59 万,5048.68 万,4152.65 万,896.03 万,5.31 万,0,0,7.12 亿
601002,晋亿实业,详细 数据 资金流, 5.35 亿 ,207.32 万,5694.28 万,4823.17 万,871.10 万,23.40 万,2.40 万,5.00 万,5.38 亿
603323,吴江银行,详细 数据 资金流, 4947.17 万 ,0,2227.83 万,1366.90 万,860.93 万,0,0,0,4947.17 万
600132,重庆啤酒,详细 数据 资金流, 5.38 亿 ,100.42 万,3010.35 万,2151.82 万,858.52 万,4.31 万,4.21 万,0,5.39 亿
601997,贵阳银行,详细 数据 资金流, 8.47 亿 ,0,2.15 亿,2.07 亿,848.87 万,0,0,2.00 万,8.47 亿
601216,君正集团,详细 数据 资金流, 11.27 亿 ,727.57 万,1.15 亿,1.07 亿,835.51 万,152.85 万,87.04 万,8.52 万,11.34 亿
600079,人福医药,详细 数据 资金流, 5.61 亿 ,16.24 万,3117.81 万,2283.82 万,833.99 万,8900,4200,200,5.61 亿
600125,铁龙物流,详细 数据 资金流, 6.45 亿 ,288.72 万,1.59 亿,1.51 亿,798.23 万,30.78 万,9.28 万,25.25 万,6.48 亿
600958,东方证券,详细 数据 资金流, 5.01 亿 ,904.89 万,5829.73 万,5053.21 万,776.52 万,63.95 万,40.48 万,17.94 万,5.10 亿
600598,北大荒,详细 数据 资金流, 9338.86 万 ,0,3373.65 万,2598.21 万,775.44 万,0,0,0,9338.86 万
601233,桐昆股份,详细 数据 资金流, 3997.44 万 ,0,2050.08 万,1280.70 万,769.38 万,0,0,0,3997.44 万
600060,海信电器,详细 数据 资金流, 8.39 亿 ,381.23 万,3336.05 万,2579.57 万,756.48 万,27.25 万,11.83 万,2.15 万,8.42 亿
601128,常熟银行,详细 数据 资金流, 3221.43 万 ,0,1526.61 万,777.45 万,749.17 万,0,0,0,3221.43 万
601333,广深铁路,详细 数据 资金流, 8.03 亿 ,271.44 万,9347.08 万,8617.16 万,729.91 万,58.00 万,35.76 万,9.40 万,8.06 亿
600387,海越股份,详细 数据 资金流, 6.20 亿 ,48.16 万,3605.19 万,2882.13 万,723.06 万,4.30 万,3100,3.69 万,6.20 亿
600519,贵州茅台,详细 数据 资金流, 25.99 亿 ,7740.30 万,2.27 亿,2.20 亿,691.43 万,17.20 万,6100,1.16 万,26.76 亿
600325,华发股份,详细 数据 资金流, 12.05 亿 ,54.64 万,8910.46 万,8222.70 万,687.76 万,7.02 万,5.16 万,14.15 万,12.05 亿
600310,桂东电力,详细 数据 资金流, 1.68 亿 ,0,1113.71 万,445.68 万,668.03 万,0,0,0,1.68 亿
600491,龙元建设,详细 数据 资金流, 5.53 亿 ,22.77 万,1458.99 万,791.69 万,667.31 万,2.35 万,2.29 万,2000,5.54 亿
600551,时代出版,详细 数据 资金流, 4.11 亿 ,0,1800.76 万,1139.70 万,661.06 万,0,0,0,4.11 亿
601766,中国中车,详细 数据 资金流, 24.79 亿 ,804.20 万,1.34 亿,1.28 亿,648.48 万,80.34 万,4.51 万,22.16 万,24.87 亿
600755,厦门国贸,详细 数据 资金流, 9.55 亿 ,24.34 万,5024.63 万,4379.46 万,645.17 万,3.02 万,3.00 万,1.00 万,9.55 亿
600157,永泰能源,详细 数据 资金流, 8.48 亿 ,71.69 万,2737.64 万,2098.77 万,638.88 万,20.25 万,10.94 万,11.38 万,8.49 亿
600751,天海投资,详细 数据 资金流, 7.41 亿 ,106.76 万,2091.49 万,1452.91 万,638.57 万,18.73 万,9.00 万,0,7.42 亿
600699,均胜电子,详细 数据 资金流, 11.92 亿 ,59.40 万,5509.06 万,4876.88 万,632.18 万,1.99 万,0,100,11.92 亿
600740,山西焦化,详细 数据 资金流, 4.46 亿 ,280.76 万,6217.14 万,5594.16 万,622.99 万,37.89 万,31.89 万,0,4.49 亿
600059,古越龙山,详细 数据 资金流, 5.14 亿 ,0,1754.79 万,1137.40 万,617.39 万,0,0,0,5.14 亿
600028,中国石化,详细 数据 资金流, 17.91 亿 ,3524.96 万,1.33 亿,1.27 亿,609.54 万,557.75 万,164.89 万,139.76 万,18.26 亿
601369,陕鼓动力,详细 数据 资金流, 3.51 亿 ,28.26 万,1104.11 万,576.22 万,527.89 万,4.50 万,1.28 万,1500,3.52 亿
603369,今世缘,详细 数据 资金流, 1.74 亿 ,59.01 万,2464.87 万,1941.81 万,523.06 万,4.50 万,4.33 万,2.49 万,1.74 亿
601718,际华集团,详细 数据 资金流, 9.62 亿 ,388.74 万,7398.61 万,6884.42 万,514.19 万,46.50 万,3.00 万,9.60 万,9.66 亿
600547,山东黄金,详细 数据 资金流, 15.98 亿 ,662.63 万,2.75 亿,2.70 亿,501.41 万,21.15 万,6.00 万,0,16.04 亿
600335,国机汽车,详细 数据 资金流, 1.70 亿 ,26.19 万,995.48 万,497.23 万,498.25 万,2.47 万,1.40 万,200,1.70 亿
601566,九牧王,详细 数据 资金流, 1.42 亿 ,13.63 万,1653.34 万,1170.00 万,483.33 万,9100,300,7700,1.42 亿
600635,大众公用,详细 数据 资金流, 9.28 亿 ,33.28 万,1648.39 万,1169.62 万,478.77 万,6.45 万,5.83 万,0,9.28 亿
601808,中海油服,详细 数据 资金流, 5.16 亿 ,105.03 万,2641.59 万,2188.01 万,453.58 万,9.89 万,0,0,5.17 亿
600674,川投能源,详细 数据 资金流, 6.46 亿 ,181.83 万,2128.74 万,1696.96 万,431.78 万,19.06 万,9.92 万,4.35 万,6.48 亿
600208,新湖中宝,详细 数据 资金流, 10.22 亿 ,28.48 万,3321.38 万,2889.61 万,431.77 万,6.70 万,2.04 万,0,10.22 亿
601199,江南水务,详细 数据 资金流, 1.33 亿 ,0,1237.35 万,811.06 万,426.29 万,0,0,0,1.33 亿
600372,中航电子,详细 数据 资金流, 9.20 亿 ,366.04 万,2392.05 万,1973.12 万,418.93 万,24.18 万,12.69 万,6.67 万,9.23 亿
600039,四川路桥,详细 数据 资金流, 5.61 亿 ,54.24 万,6799.20 万,6401.19 万,398.01 万,12.00 万,0,0,5.62 亿
600820,隧道股份,详细 数据 资金流, 11.06 亿 ,95.24 万,4996.96 万,4617.48 万,379.48 万,9.64 万,3.00 万,0,11.07 亿
600497,驰宏锌锗,详细 数据 资金流, 12.44 亿 ,263.13 万,1.92 亿,1.88 亿,377.25 万,37.43 万,13.68 万,21.87 万,12.47 亿
600329,中新药业,详细 数据 资金流, 2.68 亿 ,52.95 万,1492.93 万,1135.45 万,357.47 万,3.19 万,0,1.35 万,2.68 亿
600197,伊力特,详细 数据 资金流, 2.74 亿 ,56.02 万,3011.10 万,2664.59 万,346.51 万,3.20 万,3.09 万,7300,2.74 亿
600141,兴发集团,详细 数据 资金流, 6.04 亿 ,0,3487.78 万,3154.14 万,333.64 万,0,0,0,6.04 亿
600587,新华医疗,详细 数据 资金流, 4.89 亿 ,22.45 万,3440.64 万,3112.76 万,327.88 万,1.32 万,1.32 万,1000,4.89 亿
600312,平高电气,详细 数据 资金流, 9.37 亿 ,82.64 万,4311.41 万,3988.17 万,323.24 万,6.19 万,5.37 万,0,9.38 亿
601107,四川成渝,详细 数据 资金流, 9558.66 万 ,27.90 万,1094.70 万,774.05 万,320.65 万,6.00 万,6.00 万,0,9586.56 万
600006,东风汽车,详细 数据 资金流, 3.98 亿 ,2.41 万,1497.90 万,1179.92 万,317.98 万,4100,0,10.59 万,3.98 亿
601898,中煤能源,详细 数据 资金流, 4.80 亿 ,94.43 万,7153.15 万,6837.67 万,315.47 万,15.66 万,4.25 万,8300,4.81 亿
600517,置信电气,详细 数据 资金流, 5.87 亿 ,41.06 万,1976.88 万,1672.82 万,304.06 万,5.80 万,0,0,5.87 亿
600499,科达洁能,详细 数据 资金流, 7.99 亿 ,9.44 万,2295.37 万,1991.60 万,303.77 万,1.18 万,8900,1.45 万,8.00 亿
600750,江中药业,详细 数据 资金流, 5.94 亿 ,38.73 万,1921.39 万,1623.59 万,297.79 万,1.25 万,2900,3400,5.94 亿
600859,王府井,详细 数据 资金流, 3.19 亿 ,12.13 万,1287.71 万,1005.46 万,282.26 万,8000,3000,0,3.19 亿
600483,福能股份,详细 数据 资金流, 2.79 亿 ,2.78 万,1460.08 万,1179.70 万,280.39 万,3000,0,0,2.79 亿
600012,皖通高速,详细 数据 资金流, 2131.84 万 ,0,577.19 万,314.64 万,262.56 万,0,0,0,2131.84 万
600236,桂冠电力,详细 数据 资金流, 1690.34 万 ,0,436.68 万,180.58 万,256.10 万,0,0,0,1690.34 万
601006,大秦铁路,详细 数据 资金流, 9.79 亿 ,1515.74 万,6200.24 万,5950.12 万,250.12 万,167.12 万,72.37 万,15.46 万,9.94 亿
600210,紫江企业,详细 数据 资金流, 9.32 亿 ,5750,5956.40 万,5720.71 万,235.69 万,1000,1000,0,9.32 亿
