代码,证券简称,相关资料, 融资余额(元) ,融券余额(元),融资买入额(元),融资偿还额(元),融资净买额(元),融券余量,融券卖出量,融券偿还量,融资融券余额(元)
601231,环旭电子,详细 数据 资金流, 2.59 亿 ,191.08 万,3158.68 万,4062.53 万,-903.85 万,14.62 万,3.75 万,800,2.61 亿
600803,新奥股份,详细 数据 资金流, 4.86 亿 ,27.36 万,0,913.75 万,-913.75 万,2.00 万,0,0,4.86 亿
600583,海油工程,详细 数据 资金流, 8.10 亿 ,205.64 万,2284.69 万,3203.89 万,-919.20 万,34.62 万,4.00 万,2.10 万,8.12 亿
601901,方正证券,详细 数据 资金流, 11.09 亿 ,662.60 万,3259.49 万,4191.21 万,-931.72 万,72.49 万,14.27 万,15.76 万,11.15 亿
600108,亚盛集团,详细 数据 资金流, 9.10 亿 ,106.60 万,2331.49 万,3264.57 万,-933.07 万,25.20 万,13.10 万,0,9.12 亿
600851,海欣股份,详细 数据 资金流, 4.72 亿 ,795,797.07 万,1738.02 万,-940.95 万,85,0,5.97 万,4.72 亿
600391,航发科技,详细 数据 资金流, 6.17 亿 ,60.23 万,3937.38 万,4883.87 万,-946.49 万,2.36 万,2.34 万,1.52 万,6.18 亿
601117,中国化学,详细 数据 资金流, 8.10 亿 ,182.93 万,7654.56 万,8603.16 万,-948.60 万,24.99 万,17.94 万,9.44 万,8.12 亿
600139,西部资源,详细 数据 资金流, 6.14 亿 ,73.31 万,2959.41 万,3912.02 万,-952.61 万,8.81 万,5.71 万,4.20 万,6.15 亿
510050,50ETF,详细数据 资金流, 61.35 亿 ,9007.98 万,4680.09 万,5637.55 万,-957.46 万,3375.04 万,552.29 万,668.72 万,62.25 亿
600711,盛屯矿业,详细 数据 资金流, 9.63 亿 ,168.45 万,6969.18 万,7932.99 万,-963.81 万,24.03 万,9.00 万,18.00 万,9.65 亿
601678,滨化股份,详细 数据 资金流, 6.06 亿 ,66.37 万,3431.96 万,4402.39 万,-970.43 万,9.08 万,2300,1500,6.06 亿
600021,上海电力,详细 数据 资金流, 3.59 亿 ,258.80 万,1191.14 万,2170.32 万,-979.18 万,22.39 万,13.27 万,0,3.62 亿
600600,青岛啤酒,详细 数据 资金流, 3.63 亿 ,121.09 万,2056.29 万,3048.70 万,-992.41 万,3.77 万,4100,300,3.64 亿
600266,北京城建,详细 数据 资金流, 16.89 亿 ,2.15 万,5618.67 万,6614.66 万,-995.99 万,1600,1600,0,16.89 亿
600756,浪潮软件,详细 数据 资金流, 8.82 亿 ,159.89 万,3488.28 万,4484.97 万,-996.68 万,9.14 万,5.12 万,9900,8.84 亿
600298,安琪酵母,详细 数据 资金流, 5.45 亿 ,80.33 万,1859.52 万,2868.74 万,-1009.21 万,3.47 万,1.74 万,4400,5.46 亿
600240,华业资本,详细 数据 资金流, 7.98 亿 ,17.73 万,621.94 万,1631.58 万,-1009.64 万,2.07 万,1.32 万,1400,7.99 亿
600730,中国高科,详细 数据 资金流, 4.53 亿 ,25.80 万,1304.35 万,2315.96 万,-1011.60 万,3.53 万,3.53 万,0,4.54 亿
600668,尖峰集团,详细 数据 资金流, 7.17 亿 ,380,4135.58 万,5148.17 万,-1012.59 万,23,0,1.69 万,7.17 亿
600120,浙江东方,详细 数据 资金流, 11.52 亿 ,105.31 万,4563.18 万,5579.59 万,-1016.40 万,4.29 万,2.58 万,4000,11.53 亿
600169,太原重工,详细 数据 资金流, 4.37 亿 ,0,793.71 万,1813.06 万,-1019.35 万,0,0,0,4.37 亿
600467,好当家,详细 数据 资金流, 3.46 亿 ,0,1239.41 万,2263.58 万,-1024.17 万,0,0,0,3.46 亿
600056,中国医药,详细 数据 资金流, 3.40 亿 ,119.08 万,793.43 万,1820.02 万,-1026.58 万,4.88 万,9700,1.32 万,3.42 亿
600096,云天化,详细 数据 资金流, 3.97 亿 ,20.08 万,640.41 万,1674.24 万,-1033.82 万,2.82 万,0,1.27 万,3.98 亿
601607,上海医药,详细 数据 资金流, 3.86 亿 ,374.62 万,1357.73 万,2397.17 万,-1039.45 万,13.88 万,9200,5.57 万,3.90 亿
600257,大湖股份,详细 数据 资金流, 5.12 亿 ,0,1819.51 万,2885.62 万,-1066.12 万,0,0,0,5.12 亿
600503,华丽家族,详细 数据 资金流, 12.39 亿 ,54.93 万,4714.46 万,5793.78 万,-1079.32 万,9.02 万,9.00 万,12.00 万,12.40 亿
600113,浙江东日,详细 数据 资金流, 4.43 亿 ,359.93 万,2195.78 万,3278.64 万,-1082.86 万,27.56 万,7.75 万,0,4.47 亿
600594,益佰制药,详细 数据 资金流, 7.47 亿 ,11.67 万,3203.50 万,4287.56 万,-1084.07 万,8478,8400,0,7.47 亿
600978,宜华生活,详细 数据 资金流, 11.65 亿 ,3.60 万,1947.44 万,3035.79 万,-1088.35 万,3900,0,10.01 万,11.65 亿
600321,国栋建设,详细 数据 资金流, 4.84 亿 ,31.35 万,901.43 万,2012.55 万,-1111.12 万,7.61 万,1100,2.50 万,4.85 亿
600331,宏达股份,详细 数据 资金流, 3.87 亿 ,0,2241.07 万,3352.52 万,-1111.45 万,0,0,0,3.87 亿
600456,宝钛股份,详细 数据 资金流, 4.31 亿 ,198.69 万,3681.12 万,4793.47 万,-1112.35 万,10.31 万,2.50 万,9500,4.33 亿
600237,铜峰电子,详细 数据 资金流, 5.08 亿 ,0,1964.08 万,3095.17 万,-1131.09 万,0,0,0,5.08 亿
601088,中国神华,详细 数据 资金流, 9.09 亿 ,1142.68 万,0,1177.16 万,-1177.16 万,59.14 万,0,0,9.20 亿
600831,广电网络,详细 数据 资金流, 4.69 亿 ,32.43 万,771.99 万,1949.64 万,-1177.65 万,3.56 万,3.54 万,4300,4.69 亿
600855,航天长峰,详细 数据 资金流, 3.99 亿 ,97.90 万,2927.02 万,4120.27 万,-1193.25 万,5.50 万,3.50 万,1.50 万,4.00 亿
600160,巨化股份,详细 数据 资金流, 10.38 亿 ,93.38 万,9489.27 万,1.07 亿,-1194.99 万,8.67 万,5.21 万,6.63 万,10.38 亿
600135,乐凯胶片,详细 数据 资金流, 7.68 亿 ,166.53 万,0,1198.83 万,-1198.83 万,10.50 万,0,0,7.70 亿
601788,光大证券,详细 数据 资金流, 19.06 亿 ,75.65 万,8530.53 万,9741.11 万,-1210.58 万,5.06 万,2.00 万,9.92 万,19.07 亿
600500,中化国际,详细 数据 资金流, 7.34 亿 ,1.52 万,3639.75 万,4864.09 万,-1224.33 万,1600,0,0,7.34 亿
600415,小商品城,详细 数据 资金流, 7.62 亿 ,60.07 万,1194.28 万,2435.13 万,-1240.85 万,8.46 万,8100,16.50 万,7.62 亿
601866,中远海发,详细 数据 资金流, 5.36 亿 ,257.30 万,1284.31 万,2528.15 万,-1243.84 万,73.10 万,11.92 万,5500,5.39 亿
600495,晋西车轴,详细 数据 资金流, 6.17 亿 ,114.55 万,2353.32 万,3609.77 万,-1256.45 万,17.20 万,9.70 万,1.00 万,6.18 亿
600369,西南证券,详细 数据 资金流, 9.73 亿 ,262.79 万,3892.83 万,5151.33 万,-1258.50 万,47.78 万,21.20 万,4100,9.75 亿
600838,上海九百,详细 数据 资金流, 5.85 亿 ,314.28 万,3052.55 万,4323.02 万,-1270.47 万,26.77 万,7.25 万,2.00 万,5.88 亿
600354,敦煌种业,详细 数据 资金流, 4.42 亿 ,0,3439.30 万,4710.93 万,-1271.64 万,0,0,0,4.42 亿
600692,亚通股份,详细 数据 资金流, 5.99 亿 ,28.01 万,3343.35 万,4624.13 万,-1280.79 万,2.25 万,6100,9.29 万,6.00 亿
600118,中国卫星,详细 数据 资金流, 13.68 亿 ,580.08 万,4653.45 万,5937.44 万,-1284.00 万,22.43 万,10.57 万,7.56 万,13.74 亿
600022,山东钢铁,详细 数据 资金流, 5.86 亿 ,559.58 万,4584.22 万,5869.04 万,-1284.81 万,262.71 万,62.35 万,65.31 万,5.92 亿
600416,湘电股份,详细 数据 资金流, 9.44 亿 ,48.66 万,3273.89 万,4559.98 万,-1286.09 万,4.01 万,4.01 万,4700,9.44 亿
600150,中国船舶,详细 数据 资金流, 14.68 亿 ,2814.23 万,6481.72 万,7768.29 万,-1286.56 万,130.53 万,29.07 万,112.89 万,14.96 亿
600765,中航重机,详细 数据 资金流, 10.28 亿 ,297.52 万,5240.23 万,6532.31 万,-1292.09 万,22.92 万,21.51 万,3.06 万,10.31 亿
600066,宇通客车,详细 数据 资金流, 3.61 亿 ,405.31 万,1839.93 万,3138.33 万,-1298.40 万,18.70 万,2400,1.46 万,3.65 亿
600323,瀚蓝环境,详细 数据 资金流, 4.67 亿 ,67.70 万,1794.10 万,3095.58 万,-1301.48 万,5.02 万,2.57 万,3.25 万,4.68 亿
600879,航天电子,详细 数据 资金流, 11.91 亿 ,808.07 万,6925.01 万,8235.67 万,-1310.65 万,101.77 万,39.84 万,22.59 万,11.99 亿
600143,金发科技,详细 数据 资金流, 7.11 亿 ,23.27 万,1615.63 万,2943.39 万,-1327.76 万,4.20 万,4.11 万,2.71 万,7.12 亿
600020,中原高速,详细 数据 资金流, 2.66 亿 ,0,2759.90 万,4093.36 万,-1333.46 万,0,0,0,2.66 亿
600807,天业股份,详细 数据 资金流, 7.77 亿 ,5957,3121.84 万,4462.06 万,-1340.22 万,700,700,0,7.77 亿
600004,白云机场,详细 数据 资金流, 3.78 亿 ,0,3347.30 万,4710.25 万,-1362.95 万,0,0,0,3.78 亿
601012,隆基股份,详细 数据 资金流, 6.54 亿 ,46.58 万,2510.34 万,3889.08 万,-1378.74 万,2.59 万,2.55 万,0,6.54 亿
601101,昊华能源,详细 数据 资金流, 3.08 亿 ,136.20 万,6934.85 万,8316.40 万,-1381.55 万,15.05 万,9.45 万,4.55 万,3.09 亿
600728,佳都科技,详细 数据 资金流, 8.44 亿 ,3.94 万,2510.48 万,3902.44 万,-1391.96 万,5000,5000,0,8.44 亿
601857,中国石油,详细 数据 资金流, 12.32 亿 ,1372.99 万,1.38 亿,1.52 亿,-1413.09 万,168.88 万,38.64 万,1.73 万,12.46 亿
600614,鹏起科技,详细 数据 资金流, 9.71 亿 ,32.10 万,1128.59 万,2544.77 万,-1416.19 万,3.00 万,2900,0,9.71 亿
600110,诺德股份,详细 数据 资金流, 10.97 亿 ,1168.34 万,1.13 亿,1.27 亿,-1422.77 万,79.70 万,22.84 万,17.34 万,11.09 亿
600993,马应龙,详细 数据 资金流, 4.69 亿 ,16.46 万,3415.81 万,4847.72 万,-1431.91 万,7939,7900,1.04 万,4.69 亿
600026,中远海能,详细 数据 资金流, 5.31 亿 ,3.15 万,2544.35 万,3990.20 万,-1445.85 万,5000,3000,0,5.31 亿
603000,人民网,详细 数据 资金流, 6.77 亿 ,122.71 万,2503.78 万,3961.16 万,-1457.38 万,9.41 万,1900,3.03 万,6.78 亿
600271,航天信息,详细 数据 资金流, 11.76 亿 ,369.85 万,3380.28 万,4848.77 万,-1468.49 万,20.18 万,5.92 万,1.82 万,11.80 亿
600596,新安股份,详细 数据 资金流, 4.84 亿 ,0,2760.75 万,4230.84 万,-1470.08 万,0,0,0,4.84 亿
600737,中粮糖业,详细 数据 资金流, 8.91 亿 ,214.02 万,3509.65 万,4989.07 万,-1479.42 万,24.21 万,8.20 万,1.06 万,8.93 亿
603766,隆鑫通用,详细 数据 资金流, 4.42 亿 ,1.77 万,1870.90 万,3350.34 万,-1479.43 万,2500,2500,6300,4.42 亿
600436,片仔癀,详细 数据 资金流, 5.65 亿 ,80.28 万,2979.71 万,4467.59 万,-1487.88 万,1.47 万,100,4700,5.66 亿
600645,中源协和,详细 数据 资金流, 11.29 亿 ,91.28 万,1.17 亿,1.32 亿,-1498.14 万,3.90 万,2.15 万,5000,11.30 亿
600545,新疆城建,详细 数据 资金流, 5.51 亿 ,423.17 万,3947.55 万,5448.68 万,-1501.14 万,38.40 万,14.40 万,12.48 万,5.55 亿
600459,贵研铂业,详细 数据 资金流, 7.00 亿 ,58.29 万,5106.98 万,6613.45 万,-1506.47 万,2.75 万,2.75 万,1.54 万,7.01 亿
600050,中国联通,详细 数据 资金流, 41.75 亿 ,674.39 万,0,1540.55 万,-1540.55 万,90.28 万,0,0,41.81 亿
600023,浙能电力,详细 数据 资金流, 5.26 亿 ,105.76 万,1637.44 万,3184.34 万,-1546.91 万,19.37 万,6.65 万,9500,5.27 亿
600868,梅雁吉祥,详细 数据 资金流, 10.31 亿 ,31.92 万,2228.83 万,3781.08 万,-1552.25 万,7.00 万,0,0,10.31 亿
600252,中恒集团,详细 数据 资金流, 8.44 亿 ,209.99 万,1706.81 万,3270.55 万,-1563.74 万,54.26 万,6.81 万,6.78 万,8.46 亿
600153,建发股份,详细 数据 资金流, 11.48 亿 ,759.31 万,8379.09 万,9952.92 万,-1573.83 万,61.68 万,2.24 万,7.00 万,11.56 亿
600270,外运发展,详细 数据 资金流, 4.28 亿 ,70.43 万,1967.51 万,3571.54 万,-1604.03 万,4.05 万,3.97 万,2.65 万,4.29 亿
600536,中国软件,详细 数据 资金流, 10.48 亿 ,34.27 万,2421.54 万,4033.26 万,-1611.72 万,2.05 万,2.04 万,1400,10.48 亿
600343,航天动力,详细 数据 资金流, 7.38 亿 ,160.66 万,4176.38 万,5790.95 万,-1614.56 万,9.51 万,1.50 万,4.66 万,7.40 亿
600466,蓝光发展,详细 数据 资金流, 6.09 亿 ,0,2610.59 万,4252.33 万,-1641.74 万,0,0,0,6.09 亿
600038,中直股份,详细 数据 资金流, 8.87 亿 ,405.68 万,3774.11 万,5422.00 万,-1647.90 万,9.80 万,4.05 万,7200,8.91 亿
600273,嘉化能源,详细 数据 资金流, 5.30 亿 ,2.78 万,2837.67 万,4500.22 万,-1662.56 万,3200,0,0,5.30 亿
600783,鲁信创投,详细 数据 资金流, 9.01 亿 ,94.85 万,4769.13 万,6446.06 万,-1676.93 万,6.26 万,0,1300,9.02 亿
601601,中国太保,详细 数据 资金流, 6.77 亿 ,7976.54 万,5926.12 万,7639.69 万,-1713.58 万,223.68 万,78.41 万,26.46 万,7.57 亿
600611,大众交通,详细 数据 资金流, 7.46 亿 ,0,1414.47 万,3204.80 万,-1790.32 万,0,0,0,7.46 亿
600770,综艺股份,详细 数据 资金流, 10.61 亿 ,14.16 万,1940.98 万,3768.21 万,-1827.23 万,2.07 万,1.81 万,0,10.62 亿
600293,三峡新材,详细 数据 资金流, 7.77 亿 ,10.30 万,2059.10 万,3898.90 万,-1839.80 万,1.10 万,1.10 万,5400,7.77 亿
600523,贵航股份,详细 数据 资金流, 5.80 亿 ,26.81 万,2111.83 万,3957.64 万,-1845.81 万,1.53 万,1.21 万,8100,5.81 亿
601111,中国国航,详细 数据 资金流, 5.43 亿 ,410.21 万,3111.12 万,4959.57 万,-1848.45 万,43.92 万,16.25 万,16.51 万,5.48 亿
600867,通化东宝,详细 数据 资金流, 5.93 亿 ,177.00 万,1538.00 万,3423.91 万,-1885.91 万,10.54 万,3.94 万,9300,5.95 亿
600884,杉杉股份,详细 数据 资金流, 7.41 亿 ,144.45 万,1.16 亿,1.35 亿,-1897.66 万,7.83 万,7.74 万,6.78 万,7.43 亿
600482,中国动力,详细 数据 资金流, 13.24 亿 ,112.64 万,4903.04 万,6817.81 万,-1914.77 万,4.64 万,4.46 万,4900,13.25 亿
600839,四川长虹,详细 数据 资金流, 15.16 亿 ,202.42 万,3429.86 万,5352.48 万,-1922.62 万,59.36 万,4.75 万,13.24 万,15.18 亿
600741,华域汽车,详细 数据 资金流, 5.95 亿 ,626.68 万,2550.40 万,4488.13 万,-1937.73 万,28.14 万,1.34 万,4.41 万,6.01 亿
600031,三一重工,详细 数据 资金流, 11.26 亿 ,232.03 万,5700.66 万,7658.12 万,-1957.46 万,29.26 万,6.28 万,4200,11.28 亿
600830,香溢融通,详细 数据 资金流, 6.35 亿 ,67.28 万,2376.08 万,4362.02 万,-1985.95 万,7.50 万,6.00 万,1.00 万,6.36 亿
600809,山西汾酒,详细 数据 资金流, 3.58 亿 ,263.15 万,2146.95 万,4167.89 万,-2020.94 万,8.09 万,4.01 万,9.48 万,3.61 亿
600435,北方导航,详细 数据 资金流, 9.36 亿 ,1007.60 万,8950.01 万,1.10 亿,-2038.90 万,73.66 万,46.96 万,29.20 万,9.47 亿
600688,上海石化,详细 数据 资金流, 6.55 亿 ,174.29 万,3812.81 万,5856.60 万,-2043.79 万,26.98 万,4000,4.31 万,6.57 亿
600826,兰生股份,详细 数据 资金流, 4.63 亿 ,19.51 万,2879.47 万,4967.66 万,-2088.18 万,1.19 万,1.18 万,5500,4.63 亿
600307,酒钢宏兴,详细 数据 资金流, 8.15 亿 ,7410,4431.32 万,6545.80 万,-2114.49 万,2600,0,0,8.15 亿
600221,海航控股,详细 数据 资金流, 13.45 亿 ,166.38 万,4443.14 万,6593.34 万,-2150.20 万,51.67 万,10.00 万,0,13.47 亿
600100,同方股份,详细 数据 资金流, 26.57 亿 ,95.01 万,0,2155.54 万,-2155.54 万,6.85 万,0,0,26.58 亿
600970,中材国际,详细 数据 资金流, 9.74 亿 ,245.93 万,7733.67 万,9894.02 万,-2160.34 万,29.63 万,12.40 万,8.19 万,9.76 亿
603993,洛阳钼业,详细 数据 资金流, 13.90 亿 ,699.05 万,4.82 亿,5.04 亿,-2169.54 万,108.72 万,35.46 万,42.21 万,13.97 亿
600663,陆家嘴,详细 数据 资金流, 5.94 亿 ,783.24 万,1806.33 万,4006.09 万,-2199.76 万,33.16 万,2.30 万,7900,6.02 亿
600535,天士力,详细 数据 资金流, 18.30 亿 ,132.29 万,1760.02 万,3959.88 万,-2199.85 万,3.54 万,5500,2200,18.32 亿
600155,宝硕股份,详细 数据 资金流, 7.30 亿 ,258.39 万,5097.57 万,7306.46 万,-2208.90 万,20.41 万,9.95 万,5000,7.32 亿
601258,庞大集团,详细 数据 资金流, 8.96 亿 ,140.55 万,4154.98 万,6366.76 万,-2211.78 万,52.25 万,16.64 万,0,8.97 亿
600276,恒瑞医药,详细 数据 资金流, 5.82 亿 ,2031.30 万,2608.30 万,4824.56 万,-2216.26 万,41.42 万,1.63 万,1.10 万,6.02 亿
600800,天津磁卡,详细 数据 资金流, 4.95 亿 ,0,1825.01 万,4043.20 万,-2218.18 万,0,0,0,4.95 亿
600187,国中水务,详细 数据 资金流, 7.01 亿 ,147.55 万,1516.79 万,3777.61 万,-2260.81 万,32.50 万,23.50 万,5.95 万,7.03 亿
600739,辽宁成大,详细 数据 资金流, 17.15 亿 ,271.72 万,8283.94 万,1.06 亿,-2266.87 万,15.16 万,7.26 万,1.30 万,17.18 亿
600887,伊利股份,详细 数据 资金流, 24.33 亿 ,2070.87 万,1.45 亿,1.68 亿,-2282.52 万,99.51 万,24.84 万,10.77 万,24.53 亿
600332,白云山,详细 数据 资金流, 7.86 亿 ,109.96 万,2059.11 万,4374.04 万,-2314.94 万,4.10 万,1.52 万,2.04 万,7.87 亿
600170,上海建工,详细 数据 资金流, 7.68 亿 ,63.88 万,1929.63 万,4273.32 万,-2343.69 万,16.86 万,1.06 万,3200,7.69 亿
600158,中体产业,详细 数据 资金流, 14.54 亿 ,355.40 万,4372.63 万,6743.14 万,-2370.51 万,26.66 万,11.42 万,0,14.57 亿
600009,上海机场,详细 数据 资金流, 2.49 亿 ,434.87 万,1395.78 万,3795.41 万,-2399.64 万,11.45 万,300,4100,2.54 亿
600383,金地集团,详细 数据 资金流, 25.69 亿 ,383.80 万,4690.29 万,7142.13 万,-2451.85 万,30.32 万,13.54 万,4.52 万,25.73 亿
600584,长电科技,详细 数据 资金流, 8.30 亿 ,178.98 万,4166.12 万,6626.77 万,-2460.65 万,11.33 万,7.32 万,976,8.32 亿
601727,上海电气,详细 数据 资金流, 8.74 亿 ,763.46 万,5340.50 万,7842.34 万,-2501.84 万,100.72 万,3.47 万,47.03 万,8.82 亿
601555,东吴证券,详细 数据 资金流, 16.33 亿 ,238.75 万,8925.94 万,1.15 亿,-2527.08 万,21.63 万,3.52 万,4.76 万,16.36 亿
600707,彩虹股份,详细 数据 资金流, 5.86 亿 ,11.14 万,1767.71 万,4421.59 万,-2653.88 万,1.50 万,0,0,5.86 亿
601989,中国重工,详细 数据 资金流, 34.48 亿 ,115.96 万,0,2660.81 万,-2660.81 万,18.67 万,0,0,34.49 亿
600690,青岛海尔,详细 数据 资金流, 9.86 亿 ,963.64 万,5332.16 万,8037.58 万,-2705.43 万,67.43 万,10.52 万,2.65 万,9.96 亿
600893,航发动力,详细 数据 资金流, 13.28 亿 ,1696.69 万,5593.23 万,8314.59 万,-2721.36 万,58.23 万,21.10 万,9.94 万,13.45 亿
600161,天坛生物,详细 数据 资金流, 10.91 亿 ,6.70 万,1.39 亿,1.67 亿,-2731.75 万,2190,0,100,10.91 亿
600900,长江电力,详细 数据 资金流, 14.85 亿 ,2079.97 万,1601.61 万,4360.99 万,-2759.38 万,138.85 万,12.91 万,12.54 万,15.06 亿
600115,东方航空,详细 数据 资金流, 11.16 亿 ,321.74 万,2927.63 万,5717.59 万,-2789.96 万,48.31 万,4000,15.39 万,11.19 亿
600649,城投控股,详细 数据 资金流, 18.23 亿 ,2499.73 万,4851.09 万,7677.74 万,-2826.65 万,256.12 万,2.90 万,0,18.48 亿
601633,长城汽车,详细 数据 资金流, 5.86 亿 ,426.11 万,3462.24 万,6391.44 万,-2929.20 万,33.42 万,16.33 万,2.03 万,5.90 亿
600511,国药股份,详细 数据 资金流, 2.12 亿 ,73.20 万,2440.56 万,5481.61 万,-3041.05 万,2.31 万,2100,100,2.13 亿
600446,金证股份,详细 数据 资金流, 12.16 亿 ,216.19 万,6572.57 万,9622.22 万,-3049.65 万,14.36 万,8.45 万,2.44 万,12.19 亿
600549,厦门钨业,详细 数据 资金流, 11.66 亿 ,385.36 万,2.20 亿,2.50 亿,-3062.20 万,14.79 万,2.99 万,5.77 万,11.70 亿
601699,潞安环能,详细 数据 资金流, 5.87 亿 ,2068.98 万,1.06 亿,1.38 亿,-3126.26 万,247.19 万,77.79 万,35.91 万,6.08 亿
600363,联创光电,详细 数据 资金流, 8.23 亿 ,31.39 万,3313.00 万,6544.79 万,-3231.79 万,2.49 万,2.49 万,0,8.23 亿
601992,金隅股份,详细 数据 资金流, 18.30 亿 ,267.68 万,1.70 亿,2.04 亿,-3391.72 万,46.88 万,21.66 万,6.21 万,18.32 亿
601336,新华保险,详细 数据 资金流, 6.36 亿 ,3078.36 万,1.01 亿,1.36 亿,-3495.81 万,50.94 万,4.60 万,1.68 万,6.67 亿
600196,复星医药,详细 数据 资金流, 9.52 亿 ,212.07 万,2968.57 万,6466.90 万,-3498.33 万,7.09 万,1.36 万,1.82 万,9.54 亿
600874,创业环保,详细 数据 资金流, 8.97 亿 ,949.56 万,1.18 亿,1.54 亿,-3532.01 万,61.50 万,19.96 万,12.76 万,9.07 亿
600392,盛和资源,详细 数据 资金流, 11.37 亿 ,266.80 万,2.04 亿,2.40 亿,-3607.32 万,17.28 万,11.28 万,10.50 万,11.40 亿
600309,万华化学,详细 数据 资金流, 26.62 亿 ,8415.30 万,3.67 亿,4.04 亿,-3749.97 万,288.29 万,80.88 万,151.68 万,27.46 亿
600104,上汽集团,详细 数据 资金流, 16.53 亿 ,3126.09 万,6990.41 万,1.08 亿,-3814.02 万,97.26 万,12.47 万,19.76 万,16.85 亿
600008,首创股份,详细 数据 资金流, 14.20 亿 ,705.24 万,1.20 亿,1.60 亿,-4085.27 万,127.76 万,63.76 万,19.17 万,14.27 亿
601988,中国银行,详细 数据 资金流, 28.72 亿 ,1368.08 万,2.18 亿,2.60 亿,-4182.79 万,360.97 万,89.20 万,38.63 万,28.85 亿
600652,游久游戏,详细 数据 资金流, 7.83 亿 ,6.20 万,5199.26 万,9573.79 万,-4374.53 万,6439,6300,13.14 万,7.83 亿
600717,天津港,详细 数据 资金流, 8.31 亿 ,432.58 万,5510.78 万,9944.83 万,-4434.05 万,37.55 万,25.18 万,1.55 万,8.36 亿
600406,国电南瑞,详细 数据 资金流, 17.29 亿 ,543.53 万,4402.17 万,9200.28 万,-4798.10 万,31.86 万,6.86 万,4.29 万,17.35 亿
600518,康美药业,详细 数据 资金流, 18.77 亿 ,1980.76 万,3708.66 万,8588.14 万,-4879.48 万,96.72 万,48.09 万,17.41 万,18.97 亿
600048,保利地产,详细 数据 资金流, 17.44 亿 ,1308.06 万,1.72 亿,2.24 亿,-5176.88 万,122.71 万,47.97 万,23.41 万,17.57 亿
600015,华夏银行,详细 数据 资金流, 26.07 亿 ,5832.89 万,1.47 亿,1.99 亿,-5215.42 万,565.75 万,158.74 万,81.92 万,26.65 亿
601669,中国电建,详细 数据 资金流, 12.26 亿 ,751.68 万,7027.31 万,1.25 亿,-5462.02 万,93.03 万,44.30 万,13.59 万,12.34 亿
518880,黄金ETF,详细数据 资金流, 179.03 亿 ,65.87 万,1.32 亿,1.88 亿,-5565.68 万,24.44 万,1.00 万,0,179.03 亿
600340,华夏幸福,详细 数据 资金流, 37.06 亿 ,1522.67 万,2.15 亿,2.89 亿,-7335.22 万,49.99 万,13.04 万,9.37 万,37.21 亿
600570,恒生电子,详细 数据 资金流, 24.80 亿 ,837.93 万,1.95 亿,2.71 亿,-7542.27 万,21.79 万,6.95 万,2.21 万,24.89 亿
600030,中信证券,详细 数据 资金流, 71.80 亿 ,4049.19 万,4.84 亿,5.65 亿,-8108.25 万,238.19 万,78.75 万,82.49 万,72.21 亿
600036,招商银行,详细 数据 资金流, 28.26 亿 ,1.28 亿,1.80 亿,2.65 亿,-8551.01 万,511.09 万,102.17 万,118.01 万,29.54 亿
601668,中国建筑,详细 数据 资金流, 50.87 亿 ,3652.26 万,4.94 亿,5.92 亿,-9846.72 万,367.43 万,93.14 万,49.44 万,51.24 亿
601998,中信银行,详细 数据 资金流, 6.28 亿 ,1039.68 万,1.59 亿,2.74 亿,-1.15 亿,146.64 万,65.64 万,8.34 万,6.38 亿
